is_retweet,location,Type,URLs,Words,Links_to_Words_Ratio,Caps_to_Words_Ratio
0.000000,0.175718,1,0.200000,0.152174,0.125000,0.000000
0.000000,0.759599,1,0.000000,0.500000,0.000000,0.000000
0.000000,0.651332,1,0.200000,0.152174,0.125000,0.000000
0.000000,0.085783,0,0.400000,0.217391,0.181818,0.000000
0.000000,0.123487,0,0.200000,0.239130,0.083333,0.083333
0.000000,0.751989,0,0.200000,0.152174,0.125000,0.125000
0.000000,0.735040,1,0.200000,0.217391,0.090909,0.000000
0.000000,0.497060,1,0.200000,0.391304,0.052632,0.052632
0.000000,0.749222,1,0.400000,0.369565,0.111111,0.111111
0.000000,0.160498,0,0.400000,0.239130,0.166667,0.000000
0.000000,0.930474,1,0.200000,0.065217,0.250000,0.000000
0.000000,0.759599,1,0.200000,0.391304,0.052632,0.842105
1.000000,0.749222,0,0.400000,0.239130,0.166667,0.000000
1.000000,0.497752,0,0.400000,0.304348,0.133333,0.133333
1.000000,0.088897,0,0.200000,0.021739,0.500000,0.000000
0.000000,0.759599,1,0.200000,0.304348,0.066667,0.000000
0.000000,0.678312,0,0.000000,0.239130,0.000000,0.000000
0.000000,0.438948,1,0.200000,0.086957,0.200000,0.000000
0.000000,0.853684,1,0.000000,0.195652,0.000000,0.000000
0.000000,0.938430,1,0.000000,0.500000,0.000000,0.000000
0.000000,0.501557,1,0.400000,0.217391,0.181818,0.181818
1.000000,0.100311,0,0.400000,0.065217,0.500000,0.000000
0.000000,0.759599,1,0.200000,0.021739,0.500000,0.000000
0.000000,0.118990,1,0.200000,0.130435,0.142857,0.000000
0.000000,0.749222,1,0.200000,0.434783,0.047619,0.000000
0.000000,0.219301,1,0.000000,0.173913,0.000000,0.000000
0.000000,0.700796,1,0.000000,0.152174,0.000000,0.000000
1.000000,0.245590,0,0.000000,0.413043,0.000000,0.000000
0.000000,0.907990,0,0.000000,0.239130,0.000000,0.000000
0.000000,0.921480,0,0.200000,0.173913,0.111111,0.000000
0.000000,0.020754,1,0.000000,0.086957,0.000000,1.000000
1.000000,0.200277,0,0.200000,0.347826,0.058824,0.000000
0.000000,0.435144,1,0.000000,0.391304,0.000000,0.000000
0.000000,0.759599,1,0.200000,0.000000,1.000000,0.000000
1.000000,0.650986,1,0.000000,0.239130,0.000000,0.000000
0.000000,0.759599,1,0.200000,0.434783,0.047619,0.000000
0.000000,0.931857,1,0.200000,0.413043,0.050000,0.000000
0.000000,0.384642,1,0.000000,0.130435,0.000000,0.000000
0.000000,0.211000,1,0.000000,0.000000,0.000000,0.000000
0.000000,0.835351,1,0.200000,0.152174,0.125000,0.000000
0.000000,0.474230,1,0.000000,0.130435,0.000000,0.000000
0.000000,0.079211,0,0.200000,0.239130,0.083333,0.083333
1.000000,0.707022,0,0.000000,0.521739,0.000000,0.160000
0.000000,0.337599,0,0.000000,0.195652,0.000000,0.000000
0.000000,0.420270,1,0.200000,0.369565,0.055556,0.000000
1.000000,0.381529,0,0.000000,0.456522,0.000000,0.000000
0.000000,0.281563,0,0.400000,0.326087,0.125000,0.187500
0.000000,0.473539,0,0.000000,0.195652,0.000000,0.000000
0.000000,0.895192,0,0.200000,0.173913,0.111111,0.111111
0.000000,0.407126,0,0.400000,0.130435,0.285714,0.000000
0.000000,0.263923,0,0.200000,0.195652,0.100000,0.100000
0.000000,0.978554,0,0.200000,0.152174,0.125000,0.000000
0.000000,0.209270,0,0.000000,0.239130,0.000000,0.000000
1.000000,0.544794,1,0.000000,0.043478,0.000000,0.000000
0.000000,0.899343,1,0.200000,0.086957,0.200000,0.000000
0.000000,0.697682,0,0.400000,0.108696,0.333333,0.000000
1.000000,0.405396,0,0.000000,0.173913,0.000000,0.000000
0.000000,0.211346,1,0.000000,0.108696,0.000000,0.000000
1.000000,0.725355,0,0.400000,0.217391,0.181818,0.181818
0.000000,0.897959,0,0.000000,0.130435,0.000000,0.000000
0.000000,0.387409,1,0.200000,0.152174,0.125000,0.625000
0.000000,0.301972,1,0.200000,0.195652,0.100000,0.000000
0.000000,0.560360,1,0.400000,0.260870,0.153846,0.000000
0.000000,0.582843,1,0.000000,0.456522,0.000000,0.272727
0.000000,0.004151,1,0.000000,0.347826,0.000000,0.000000
0.000000,0.175718,1,0.200000,0.413043,0.050000,0.050000
0.000000,0.708059,1,0.000000,0.043478,0.000000,0.000000
0.000000,0.190937,0,0.200000,0.304348,0.066667,0.000000
0.000000,0.665860,0,0.200000,0.195652,0.100000,0.000000
1.000000,0.005534,0,0.200000,0.260870,0.076923,0.000000
0.000000,0.759599,1,0.200000,0.108696,0.166667,0.000000
0.000000,0.188516,0,0.200000,0.413043,0.050000,0.000000
0.000000,0.822207,0,0.400000,0.239130,0.166667,0.000000
1.000000,0.796264,0,0.200000,0.217391,0.090909,0.000000
0.000000,0.461086,1,0.200000,0.326087,0.062500,0.000000
0.000000,0.759599,1,0.200000,0.326087,0.062500,0.062500
0.000000,0.635074,0,0.400000,0.239130,0.166667,0.000000
0.000000,0.631961,0,0.400000,0.239130,0.166667,0.250000
0.000000,0.531304,0,0.400000,0.282609,0.142857,0.000000
0.000000,0.124870,1,0.000000,0.347826,0.000000,0.000000
0.000000,0.056382,0,0.400000,0.217391,0.181818,0.000000
0.000000,0.287098,1,0.200000,0.391304,0.052632,0.000000
0.000000,0.346247,1,0.000000,0.260870,0.000000,0.000000
0.000000,0.056728,1,0.200000,0.413043,0.050000,0.000000
0.000000,0.320996,0,0.400000,1.000000,0.042553,0.000000
0.000000,0.759599,1,0.000000,0.304348,0.000000,0.000000
0.000000,0.948461,1,0.000000,0.217391,0.000000,0.000000
0.000000,0.759599,1,0.000000,0.369565,0.000000,0.000000
0.000000,0.104116,0,0.200000,0.326087,0.062500,0.000000
1.000000,0.435144,1,0.000000,0.086957,0.000000,0.000000
0.000000,0.665860,0,0.400000,0.391304,0.105263,0.000000
1.000000,0.142511,0,0.000000,0.195652,0.000000,0.000000
0.000000,0.520581,1,0.400000,0.239130,0.166667,0.000000
0.000000,0.326185,1,0.200000,0.217391,0.090909,0.090909
0.000000,0.371152,1,0.200000,0.413043,0.050000,0.000000
0.000000,0.934279,0,0.400000,0.260870,0.153846,0.384615
0.000000,0.295745,1,0.200000,0.326087,0.062500,0.000000
0.000000,0.081979,1,0.200000,0.086957,0.200000,0.000000
0.000000,0.092356,1,0.200000,0.391304,0.052632,0.000000
1.000000,0.571083,1,0.000000,0.260870,0.000000,0.000000
0.000000,0.977862,0,0.200000,0.260870,0.076923,0.000000
1.000000,0.674507,0,0.000000,0.239130,0.000000,0.000000
0.000000,0.846766,0,0.400000,0.173913,0.222222,0.000000
0.000000,0.563819,0,0.200000,0.326087,0.062500,0.000000
0.000000,0.120028,1,0.200000,0.152174,0.125000,0.000000
0.000000,0.741958,0,0.200000,0.391304,0.052632,0.105263
0.000000,0.193013,0,0.200000,0.173913,0.111111,0.000000
0.000000,0.027326,0,0.200000,0.304348,0.066667,0.066667
0.000000,0.759599,1,0.000000,0.282609,0.000000,0.000000
0.000000,0.051885,1,0.200000,0.304348,0.066667,0.600000
1.000000,0.865099,0,0.400000,0.260870,0.153846,0.000000
0.000000,0.759599,1,0.200000,0.347826,0.058824,0.000000
0.000000,0.361467,1,0.200000,0.195652,0.100000,0.000000
0.000000,0.213767,0,0.000000,0.760870,0.000000,0.027778
1.000000,0.850225,0,0.400000,0.130435,0.285714,0.000000
0.000000,0.528191,0,0.200000,0.195652,0.100000,0.000000
0.000000,0.966793,1,0.200000,0.195652,0.100000,0.000000
1.000000,0.450709,0,0.200000,0.391304,0.052632,0.157895
0.000000,0.144241,0,0.200000,0.434783,0.047619,0.047619
0.000000,0.060533,0,0.200000,0.086957,0.200000,0.200000
1.000000,0.878935,0,0.000000,0.217391,0.000000,0.000000
