followers,location,Type,URLs,Hashtags,Mentions,Hashtags_to_Words_Ratio,Links_to_Words_Ratio,Caps_to_Words_Ratio
0.000110,0.175718,1,0.200000,0.166667,0.000000,0.214286,0.125000,0.000000
0.000000,0.759599,1,0.000000,0.000000,0.035714,0.000000,0.000000,0.000000
0.000000,0.651332,1,0.200000,0.000000,0.000000,0.000000,0.125000,0.000000
0.000006,0.085783,0,0.400000,0.083333,0.000000,0.077922,0.181818,0.000000
0.000016,0.123487,0,0.200000,0.000000,0.000000,0.000000,0.083333,0.083333
0.000153,0.751989,0,0.200000,0.000000,0.000000,0.000000,0.125000,0.125000
0.000000,0.735040,1,0.200000,0.416667,0.035714,0.389610,0.090909,0.000000
0.001838,0.497060,1,0.200000,0.250000,0.071429,0.135338,0.052632,0.052632
0.000447,0.749222,1,0.400000,0.083333,0.000000,0.047619,0.111111,0.111111
0.000192,0.160498,0,0.400000,0.000000,0.000000,0.000000,0.166667,0.000000
0.000000,0.930474,1,0.200000,0.000000,0.071429,0.000000,0.250000,0.000000
0.000000,0.759599,1,0.200000,0.000000,0.000000,0.000000,0.052632,0.842105
0.000009,0.749222,0,0.400000,0.166667,0.000000,0.142857,0.166667,0.000000
0.000016,0.497752,0,0.400000,0.250000,0.000000,0.171429,0.133333,0.133333
0.000122,0.088897,0,0.200000,0.000000,0.000000,0.000000,0.500000,0.000000
0.000000,0.759599,1,0.200000,0.000000,0.035714,0.000000,0.066667,0.000000
0.000001,0.678312,0,0.000000,0.250000,0.000000,0.214286,0.000000,0.000000
0.000000,0.438948,1,0.200000,0.000000,0.000000,0.000000,0.200000,0.000000
0.000000,0.853684,1,0.000000,0.083333,0.142857,0.085714,0.000000,0.000000
0.000000,0.938430,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.501557,1,0.400000,0.500000,0.000000,0.467532,0.181818,0.181818
0.000010,0.100311,0,0.400000,0.000000,0.000000,0.000000,0.500000,0.000000
0.000000,0.759599,1,0.200000,0.000000,0.000000,0.000000,0.500000,0.000000
0.000000,0.118990,1,0.200000,0.000000,0.000000,0.000000,0.142857,0.000000
0.000000,0.749222,1,0.200000,0.000000,0.000000,0.000000,0.047619,0.000000
0.000000,0.219301,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.700796,1,0.000000,0.000000,0.035714,0.000000,0.000000,0.000000
0.000008,0.245590,0,0.000000,0.083333,0.000000,0.042857,0.000000,0.000000
0.000126,0.907990,0,0.000000,0.166667,0.000000,0.142857,0.000000,0.000000
0.000161,0.921480,0,0.200000,0.000000,0.000000,0.000000,0.111111,0.000000
0.000000,0.020754,1,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
0.000026,0.200277,0,0.200000,0.000000,0.000000,0.000000,0.058824,0.000000
0.001857,0.435144,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.024571,0.759599,1,0.200000,0.000000,0.000000,0.000000,1.000000,0.000000
0.000000,0.650986,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.759599,1,0.200000,0.000000,0.000000,0.000000,0.047619,0.000000
0.000000,0.931857,1,0.200000,0.000000,0.000000,0.000000,0.050000,0.000000
0.000000,0.384642,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.211000,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.835351,1,0.200000,0.083333,0.035714,0.107143,0.125000,0.000000
0.000000,0.474230,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000015,0.079211,0,0.200000,0.000000,0.000000,0.000000,0.083333,0.083333
0.000001,0.707022,0,0.000000,0.000000,0.035714,0.000000,0.000000,0.160000
0.000117,0.337599,0,0.000000,0.083333,0.000000,0.085714,0.000000,0.000000
0.000000,0.420270,1,0.200000,0.000000,0.035714,0.000000,0.055556,0.000000
0.000004,0.381529,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.281563,0,0.400000,0.250000,0.000000,0.160714,0.125000,0.187500
0.000000,0.473539,0,0.000000,0.083333,0.000000,0.085714,0.000000,0.000000
0.000008,0.895192,0,0.200000,0.000000,0.000000,0.000000,0.111111,0.111111
0.000159,0.407126,0,0.400000,0.000000,0.000000,0.000000,0.285714,0.000000
0.000568,0.263923,0,0.200000,0.000000,0.000000,0.000000,0.100000,0.100000
