Id,following,followers,actions,is_retweet,location,Type,URLs,Hashtags,Mentions,Words,Characters,Hashtags_to_Words_Ratio,Links_to_Words_Ratio,Caps_to_Words_Ratio
10091,0.000000,0.000110,0.044100,0.000000,0.175718,1,0.200000,0.166667,0.000000,0.152174,0.161504,0.214286,0.125000,0.000000
10172,0.000000,0.000000,0.044100,0.000000,0.759599,1,0.000000,0.000000,0.035714,0.500000,0.247788,0.000000,0.000000,0.000000
7012,0.000000,0.000000,0.044100,0.000000,0.651332,1,0.200000,0.000000,0.000000,0.152174,0.097345,0.000000,0.125000,0.000000
3697,0.002074,0.000006,0.001773,0.000000,0.085783,0,0.400000,0.083333,0.000000,0.217391,0.201327,0.077922,0.181818,0.000000
10740,0.003025,0.000016,0.009176,0.000000,0.123487,0,0.200000,0.000000,0.000000,0.239130,0.170354,0.000000,0.083333,0.083333
9572,0.002772,0.000153,0.167305,0.000000,0.751989,0,0.200000,0.000000,0.000000,0.152174,0.134956,0.000000,0.125000,0.125000
10792,0.000000,0.000000,0.000000,0.000000,0.735040,1,0.200000,0.416667,0.035714,0.217391,0.192478,0.389610,0.090909,0.000000
11594,0.000000,0.001838,0.044100,0.000000,0.497060,1,0.200000,0.250000,0.071429,0.391304,0.261062,0.135338,0.052632,0.052632
12594,0.024375,0.000447,0.000283,0.000000,0.749222,1,0.400000,0.083333,0.000000,0.369565,0.340708,0.047619,0.111111,0.111111
10963,0.005641,0.000192,0.038170,0.000000,0.160498,0,0.400000,0.000000,0.000000,0.239130,0.210177,0.000000,0.166667,0.000000
10778,0.000000,0.000000,0.044100,0.000000,0.930474,1,0.200000,0.000000,0.071429,0.065217,0.128319,0.000000,0.250000,0.000000
4174,0.000000,0.000000,0.044100,0.000000,0.759599,1,0.200000,0.000000,0.000000,0.391304,0.243363,0.000000,0.052632,0.842105
5401,0.000488,0.000009,0.028891,1.000000,0.749222,0,0.400000,0.166667,0.000000,0.239130,0.212389,0.142857,0.166667,0.000000
7636,0.001183,0.000016,0.021487,1.000000,0.497752,0,0.400000,0.250000,0.000000,0.304348,0.292035,0.171429,0.133333,0.133333
6908,0.004988,0.000122,0.082000,1.000000,0.088897,0,0.200000,0.000000,0.000000,0.021739,0.066372,0.000000,0.500000,0.000000
5265,0.000000,0.000000,0.000000,0.000000,0.759599,1,0.200000,0.000000,0.035714,0.304348,0.247788,0.000000,0.066667,0.000000
10433,0.000053,0.000001,0.002617,0.000000,0.678312,0,0.000000,0.250000,0.000000,0.239130,0.161504,0.214286,0.000000,0.000000
1643,0.000000,0.000000,0.044100,0.000000,0.438948,1,0.200000,0.000000,0.000000,0.086957,0.168142,0.000000,0.200000,0.000000
2445,0.000000,0.000000,0.001562,0.000000,0.853684,1,0.000000,0.083333,0.142857,0.195652,0.174779,0.085714,0.000000,0.000000
5841,0.000000,0.000000,0.044100,0.000000,0.938430,1,0.000000,0.000000,0.000000,0.500000,0.258850,0.000000,0.000000,0.000000
12562,0.000000,0.000000,0.000000,0.000000,0.501557,1,0.400000,0.500000,0.000000,0.217391,0.289823,0.467532,0.181818,0.181818
4941,0.000535,0.000010,0.037494,1.000000,0.100311,0,0.400000,0.000000,0.000000,0.065217,0.110619,0.000000,0.500000,0.000000
5200,0.000000,0.000000,0.000000,0.000000,0.759599,1,0.200000,0.000000,0.000000,0.021739,0.048673,0.000000,0.500000,0.000000
11869,0.000000,0.000000,0.000000,0.000000,0.118990,1,0.200000,0.000000,0.000000,0.130435,0.103982,0.000000,0.142857,0.000000
12385,0.000000,0.000000,0.044100,0.000000,0.749222,1,0.200000,0.000000,0.000000,0.434783,0.367257,0.000000,0.047619,0.000000
12239,0.000000,0.000000,0.044100,0.000000,0.219301,1,0.000000,0.000000,0.000000,0.173913,0.070796,0.000000,0.000000,0.000000
3481,0.000000,0.000000,0.000000,0.000000,0.700796,1,0.000000,0.000000,0.035714,0.152174,0.099558,0.000000,0.000000,0.000000
7237,0.000285,0.000008,0.034950,1.000000,0.245590,0,0.000000,0.083333,0.000000,0.413043,0.223451,0.042857,0.000000,0.000000
8219,0.008901,0.000126,0.170247,0.000000,0.907990,0,0.000000,0.166667,0.000000,0.239130,0.146018,0.142857,0.000000,0.000000
9597,0.004472,0.000161,0.199982,0.000000,0.921480,0,0.200000,0.000000,0.000000,0.173913,0.150442,0.000000,0.111111,0.000000
1662,0.000000,0.000000,0.044100,0.000000,0.020754,1,0.000000,0.000000,0.000000,0.086957,0.042035,0.000000,0.000000,1.000000
2348,0.001657,0.000026,0.022759,1.000000,0.200277,0,0.200000,0.000000,0.000000,0.347826,0.219027,0.000000,0.058824,0.000000
7341,0.000000,0.001857,0.044100,0.000000,0.435144,1,0.000000,0.000000,0.000000,0.391304,0.201327,0.000000,0.000000,0.000000
2995,0.000000,0.024571,0.044100,0.000000,0.759599,1,0.200000,0.000000,0.000000,0.000000,0.057522,0.000000,1.000000,0.000000
4152,0.000000,0.000000,0.044100,1.000000,0.650986,1,0.000000,0.000000,0.000000,0.239130,0.097345,0.000000,0.000000,0.000000
11601,0.000000,0.000000,0.000000,0.000000,0.759599,1,0.200000,0.000000,0.000000,0.434783,0.250000,0.000000,0.047619,0.000000
12365,0.000000,0.000000,0.044100,0.000000,0.931857,1,0.200000,0.000000,0.000000,0.413043,0.236726,0.000000,0.050000,0.000000
11451,0.000000,0.000000,0.044100,0.000000,0.384642,1,0.000000,0.000000,0.000000,0.130435,0.044248,0.000000,0.000000,0.000000
4490,0.000000,0.000000,0.000000,0.000000,0.211000,1,0.000000,0.000000,0.000000,0.000000,0.006637,0.000000,0.000000,0.000000
12203,0.000000,0.000000,0.000000,0.000000,0.835351,1,0.200000,0.083333,0.035714,0.152174,0.163717,0.107143,0.125000,0.000000
12308,0.000000,0.000000,0.000012,0.000000,0.474230,1,0.000000,0.000000,0.000000,0.130435,0.046460,0.000000,0.000000,0.000000
2198,0.002987,0.000015,0.007072,0.000000,0.079211,0,0.200000,0.000000,0.000000,0.239130,0.159292,0.000000,0.083333,0.083333
